Word,POS_Tag,Coarse_Tag,Category,Lemma,Tag_Meaning,Sentence_No
weekend,NN,NOUN,Noun,weekend,"noun, singular or mass",41
were,VBD,VERB,Verb,be,"verb, past tense",41
warnings,NNS,NOUN,Noun,warning,"noun, plural",41
heat,NN,NOUN,Noun,heat,"noun, singular or mass",41
wind,NN,NOUN,Noun,wind,"noun, singular or mass",41
Northwest,NNP,PROPN,Proper Noun,northwest,"noun, proper singular",41
SOUNDBITE,NNP,PROPN,Proper Noun,soundbite,"noun, proper singular",42
PRESS,NNP,PROPN,Proper Noun,press,"noun, proper singular",42
CONFERENCE,NNP,PROPN,Proper Noun,conference,"noun, proper singular",42
NOWELS,VBZ,VERB,Verb,nowel,"verb, 3rd person singular present",42
origin,NN,NOUN,Noun,origin,"noun, singular or mass",42
fire,NN,NOUN,Noun,fire,"noun, singular or mass",42
witnesses,NNS,NOUN,Noun,witness,"noun, plural",42
seen,VBN,VERB,Verb,see,"verb, past participle",42
Mr.,NNP,PROPN,Proper Noun,mr.,"noun, proper singular",42
Farinacci,NNP,PROPN,Proper Noun,farinacci,"noun, proper singular",42
kneeling,NN,NOUN,Noun,kneeling,"noun, singular or mass",42
grass,NN,NOUN,Noun,grass,"noun, singular or mass",42
day,NN,NOUN,Noun,day,"noun, singular or mass",42
SIEGLER,NNS,NOUN,Noun,siegler,"noun, plural",43
Farinacci,NNP,PROPN,Proper Noun,farinacci,"noun, proper singular",44
faces,VBZ,VERB,Verb,face,"verb, 3rd person singular present",44
arson,NN,NOUN,Noun,arson,"noun, singular or mass",44
charges,NNS,NOUN,Noun,charge,"noun, plural",44
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",44
year,NN,NOUN,Noun,year,"noun, singular or mass",44
Spokane,NNP,PROPN,Proper Noun,spokane,"noun, proper singular",44
fits,VBZ,VERB,Verb,fit,"verb, 3rd person singular present",45
story,NN,NOUN,Noun,story,"noun, singular or mass",45
data,NNS,NOUN,Noun,datum,"noun, plural",46
shows,VBZ,VERB,Verb,show,"verb, 3rd person singular present",46
quarters,NNS,NOUN,Noun,quarter,"noun, plural",46
wildfires,NNS,NOUN,Noun,wildfire,"noun, plural",46
U.S.,NNP,PROPN,Proper Noun,u.s.,"noun, proper singular",46
caused,VBN,VERB,Verb,cause,"verb, past participle",46
people,NNS,NOUN,Noun,people,"noun, plural",46
arson,NN,NOUN,Noun,arson,"noun, singular or mass",46
negligence,NN,NOUN,Noun,negligence,"noun, singular or mass",46
burn,VB,VERB,Verb,burn,"verb, base form",46
piles,NNS,NOUN,Noun,pile,"noun, plural",46
campfire,NN,NOUN,Noun,campfire,"noun, singular or mass",46
put,VBN,VERB,Verb,put,"verb, past participle",46
Kelly,NNP,PROPN,Proper Noun,kelly,"noun, proper singular",47
Pohl,NNP,PROPN,Proper Noun,pohl,"noun, proper singular",47
Montana,NNP,PROPN,Proper Noun,montana,"noun, proper singular",47
based,VBN,VERB,Verb,base,"verb, past participle",47
think,NN,NOUN,Noun,think,"noun, singular or mass",47
tank,NN,NOUN,Noun,tank,"noun, singular or mass",47
Headwaters,NNP,PROPN,Proper Noun,headwaters,"noun, proper singular",47
Economics,NNP,PROPN,Proper Noun,economics,"noun, proper singular",47
KELLY,NNP,PROPN,Proper Noun,kelly,"noun, proper singular",48
POHL,NNP,PROPN,Proper Noun,pohl,"noun, proper singular",48
car,NN,NOUN,Noun,car,"noun, singular or mass",48
lawnmower,NN,NOUN,Noun,lawnmower,"noun, singular or mass",48
campfire,NN,NOUN,Noun,campfire,"noun, singular or mass",48
downed,VBN,VERB,Verb,down,"verb, past participle",48
power,NN,NOUN,Noun,power,"noun, singular or mass",48
